ID LG_child LE_child L_child Child LG_dad LE_dad L_dad Dad LG_mom LE_mom L_mom Mom Nr_sib Sib_status Sib1 Sib2 Sib3 Sib4 Sib5 Sib6 Sib7
1 0.371545777528638 -0.19284007600784 0.178705701520798 0 -0.239594780845365 0.00414503946074962 -0.235449741384615 0 -0.265203620240428 1.42221654119973 1.1570129209593 0 0 0 0 0 0 0 0 0 0
2 0.122804508260126 -0.0702847936302876 0.0525197146298384 0 0.670968492780894 -0.718679747156443 -0.0477112543755491 0 -0.196223983864409 -0.358692580407085 -0.554916564271494 0 2 0 0 0 0 0 0 0 0
3 0.736302637655768 -0.625618182692727 0.110684454963041 0 0.685591840541755 0.293897139249957 0.979488979791712 0 0.930834691255239 0.438436905484712 1.36927159673995 0 1 0 0 0 0 1 1 0 0
4 -0.0728721478453984 0.839582934726077 0.766710786880678 0 -0.34118984285592 -0.386035941504675 -0.727225784360595 0 -1.1127600494719 -0.0443174237411966 -1.15707747321309 0 2 0 0 0 0 0 0 0 0
5 -0.549656855542249 -0.44555613955786 -0.99521299510011 0 -0.985792992493296 -0.672043573002227 -1.65783656549552 0 -0.240599945779785 0.747329401502615 0.50672945572283 0 1 0 0 0 0 0 0 0 0
6 -1.48964324876662 0.382745501593126 -1.10689774717349 0 -1.47243711234223 0.142256329150693 -1.33018078319154 0 -0.631277751977332 1.01569882349322 0.384421071515893 0 3 0 0 0 0 0 0 0 0
7 -0.18997979267191 -1.8130008141896 -2.00298060686151 0 0.808744617317309 1.59405306776448 2.40279768508179 1 -0.0532663709731194 -0.311850264854216 -0.365116635827335 0 1 0 0 0 0 0 0 0 0
8 -0.969545281992013 0.827026930390063 -0.14251835160195 0 -2.35867746092969 -0.0792744326350617 -2.43795189356475 0 -0.318208611731591 1.04963759892184 0.731428987190254 0 2 0 0 0 0 0 0 0 0
9 0.0845097535632962 0.646469178759499 0.730978932322795 0 -0.672809632317804 0.408531952126675 -0.264277680191129 0 0.951503170965143 1.23611041936818 2.18761359033332 1 2 0 0 0 0 0 0 0 0
10 -0.180432487195175 0.0241985565741146 -0.156233930621061 0 -0.540109550065514 0.621049507442387 0.0809399573768727 0 0.619194992829256 -0.492019806130181 0.127175186699075 0 0 0 0 0 0 0 0 0 0
11 -0.0621752504975662 0.835509274139847 0.773334023642281 0 -0.0621752504975662 0.658089697206419 0.595914446708853 0 -0.585744304895402 0.205722897395527 -0.380021407499874 0 1 0 0 0 0 0 0 0 0
12 0.806161828653789 -0.324943901509232 0.481217927144557 0 0.670968492780894 0.327663759171386 0.998632251952279 0 1.06602802712814 -0.98906272964558 0.0769652974825553 0 0 0 0 1 0 0 0 0 0
13 0.48865342235515 -0.277376527451095 0.211276894904054 0 0.657160252969678 0.13089343827219 0.788053691241869 0 0.300166500704721 -1.11768941001043 -0.817522909305705 0 2 0 0 0 0 0 0 0 0
14 0.351940000656359 -0.343330171160322 0.00860982949603639 0 -0.378890991207676 1.03238818332456 0.65349719211688 0 0.214163876119943 -1.4428575034728 -1.22869362735286 0 1 0 0 0 0 0 0 0 0
15 0.862917757716845 0.148315413890646 1.01123317160749 0 0.74234776960481 -0.545155711062899 0.197192058541911 0 0.52390917455641 -0.685051228223307 -0.161142053666897 0 2 0 0 0 0 0 0 0 0
16 0.28554315294386 -0.212204973172413 0.0733381797714467 0 0.28554315294386 -0.678067045530552 -0.392523892586692 0 -0.357707590606298 -0.334886405046736 -0.692593995653034 0 2 0 0 0 0 0 0 0 0
17 -0.274104606469418 -0.562865243628252 -0.83696985009767 0 0.756971117365671 0.173772529425753 0.930743646791424 0 -0.153534618357383 1.44683143642321 1.29329681806582 0 3 0 0 0 0 0 0 0 0
18 0.449067554446971 0.766630163875122 1.21569771832209 0 -0.00149287102148159 -2.47004642620981 -2.47153929723129 0 0.449067554446971 -0.732469542985016 -0.283401988538046 0 1 0 0 0 0 0 0 0 0
19 0.807681914479685 0.682871343487126 1.49055325796681 0 0.951503170965143 0.978252308962632 1.92975547992777 1 0.996168836130114 -1.35357799974892 -0.357409163618808 0 2 1 0 1 0 1 0 1 0
20 -0.124844707040492 0.260280113265063 0.135435406224571 0 0.135021491433853 0.154529042059619 0.289550533493472 0 0.122804508260126 1.69509290987718 1.81789741813731 1 1 0 0 0 0 0 1 0 0
